Poem Name,Poet,Year,Line,Metaphore present or not,Count of the metaphores,Metaphorical Terms,Target Domain,Source Domain
නොමියෙමි,මහගම සේකර​,1973,අනන්ත අපරිමාණ විශ්වය තුළ​ සෙමෙන් සෙමෙන් විසිරී යන​,No,0,,,
නොමියෙමි,මහගම සේකර​,1973,පුළුන් වලා රොදක්මි මම​. ,Yes,1,පුළුන් වලා රොදක්මි මම​. ,Me,Clouds
නොමියෙමි,මහගම සේකර​,1973,අනන්ත අපරිමාණ විශ්වය තුළ​ ,No,0,,,
නොමියෙමි,මහගම සේකර​,1973,වෙන අන් කිසිවෙකු නැත. ,No,0,,,
නොමියෙමි,මහගම සේකර​,1973,ඔබත් මාත් දෙදෙනා හැර​,No,0,,,
නොමියෙමි,මහගම සේකර​,1973,මළ මිනිහා පිට දමලා ,No,0,,,
නොමියෙමි,මහගම සේකර​,1973,ජීවත් වන ලොකු ලොක්කන්ගේ මූණට දෙසා බාති අනුසාසන​.,No,0,,,
නොමියෙමි,මහගම සේකර​,1973,කොමසාරිස් මහත්තයා රන් කඳක්‍ ය.,Yes,1,මහත්තයා රන් කඳක්‍ ය. ,Gentleman,Heap of gold
නොමියෙමි,මහගම සේකර​,1973,අද්වකාත් මහත්තයා පින් කෙතක්‍ ය​.,Yes,1,මහත්තයා පින් කෙතක්‍ ය​.,Gentleman,A field of merit
නොමියෙමි,මහගම සේකර​,1973,මළ ඊයේ දවස හෙලූ පිනි කඳුළක්,Yes,1,පිනි කඳුළක්,Tears,Rain drops
නොමියෙමි,මහගම සේකර​,1973,මල් පෙති තුළ රැඳී තිබී,No,0,,,
නොමියෙමි,මහගම සේකර​,1973,මා ඇසිපිය මත පතිතව,No,0,,,
නොමියෙමි,මහගම සේකර​,1973,කම්මුල දිග ගලා ගියේය​.,No,0,,,
නොමියෙමි,මහගම සේකර​,1973,කණා මැදිරි මල් පිපිලා,No,0,,,
නොමියෙමි,මහගම සේකර​,1973,පහළ පොළොව වන උයනයි,Yes,1,පහළ පොළොව වන උයනයි,Below earth,Forest Garden
නොමියෙමි,මහගම සේකර​,1973,මැණික් පහන් වැල් ඇදිලා,No,0,,,
නොමියෙමි,මහගම සේකර​,1973,ඉහළ අහස සැණකෙළියයි.,Yes,1,ඉහළ අහස සැණකෙළියයි.,Above sky,Carnival
නොමියෙමි,මහගම සේකර​,1973,කවුදෝ එන මුදු පියවර හඬක් ඇසෙයි,No,0,,,
නොමියෙමි,මහගම සේකර​,1973,මිදුලේ බොරලු මැඩෙන​!,No,0,,,
නොමියෙමි,මහගම සේකර​,1973,කවුළුව හැර බැලීමි.,No,0,,,
නොමියෙමි,මහගම සේකර​,1973,දියක ගිලුණු සියුමැලි අව අඬ සඳ​,No,0,,,
නොමියෙමි,මහගම සේකර​,1973,අහස් ගඟ දිගේ අවරත පාවී යයි.,Yes,1,අහස් ගඟ,Sky,River
නොමියෙමි,මහගම සේකර​,1973,සක්වල තුල විදුලි වෙයින් ඉගිල ගොසින්,No,0,,,
නොමියෙමි,මහගම සේකර​,1973,මහ පොළොවට​ සඳ කතරින් වැලි ගෙනාමි.,Yes,1,සඳ කතරින්,Moon,Desert
නොමියෙමි,මහගම සේකර​,1973,තුරු වදුලේ පූපයක් අතින් ගෙන,No,0,,,
නොමියෙමි,මහගම සේකර​,1973,සුරා විතයි ගී පොතයි අතින් ගෙන​,No,0,,,
නොමියෙමි,මහගම සේකර​,1973,මා තුරුලේ ඔබ​ ගීත ගයන විට​,No,0,,,
නොමියෙමි,මහගම සේකර​,1973,මේ වන කතර පාරාදීසයකි මට​,Yes,1,වන කතර පාරාදීසයකි,Forest,Paradise
නොමියෙමි,මහගම සේකර​,1973,පතුල සිඹින වසින වරල​ ගන මේ කුළු හසිනී,No,0,,,
නොමියෙමි,මහගම සේකර​,1973,දෙතන දෙකඳු මැද ඈලි ඈලී ගලන දුහුල රමණී ,No,0,,,
නොමියෙමි,මහගම සේකර​,1973,නිලන නිලම සිහිලඹ පිරි නයන පොකුණු සොබනී,No,0,,,
නොමියෙමි,මහගම සේකර​,1973,සසර කතර ගිම් සනහන,Yes,1,සසර කතර,After life,Desert
නොමියෙමි,මහගම සේකර​,1973,කෙම් බිම ඔබ මරණී,Yes,1,කෙම් බිම ඔබ,You,Paddy field
නොමියෙමි,මහගම සේකර​,1973,බැස යන හිරුගේ එළිය ඔබයි,Yes,1,හිරුගේ එළිය ඔබයි,You,Sunshine
නොමියෙමි,මහගම සේකර​,1973,නැග එන සඳුගේ අඳුර ඔබයි,Yes,1,සඳුගේ අඳුර ඔබයි,You,Darkness of the moon
නොමියෙමි,මහගම සේකර​,1973,අහස පොළොව මහ මුහුද ඔබයි,Yes,1,මහ මුහුද ඔබයි,You,Sea
නොමියෙමි,මහගම සේකර​,1973,නිමා නොමැති විශ්වයද ඔබයි,Yes,1,විශ්වයද ඔබයි,You,Universe
නොමියෙමි,මහගම සේකර​,1973,ඉහළ නිසසල කඳු මුදුන් මත සුදු වළාකුළු දිය වෙලා,No,0,,,
නොමියෙමි,මහගම සේකර​,1973,පහළ මිහිදුම් දුහුල් පටලින් පෙරී පොළොවට වැගිරිලා,Yes,1,මිහිදුම් දුහුල් පටලින්,Mist,Layer of dust
නොමියෙමි,මහගම සේකර​,1973,සැඳෑ සුළගේ රඟන සඳ ඔබ​ රන් කරල් සහ ඇල් කෙතේ,Yes,1,රඟන සඳ ඔබ,You,Shining moon
නොමියෙමි,මහගම සේකර​,1973,ඔබේ රැගුමේ රැඳුනු කාලය​ මගේ හද ගැස්මයි හැගේ,No,0,,,
දෙලොවක් අතර​,කරුණාරත්න අබේසේකර​,1965,සුළං සැර හා අව් සැරය මිස​,No,0,,,
දෙලොවක් අතර​,කරුණාරත්න අබේසේකර​,1965,කිසිම කෙනෙකුගෙ සුරත හෝ ඇස​,No,0,,,
දෙලොවක් අතර​,කරුණාරත්න අබේසේකර​,1965,වැදි නැති නො පෙනෙන වැරදි දොස​,No,0,,,
දෙලොවක් අතර​,කරුණාරත්න අබේසේකර​,1965,සොඳුර​! ඔබ කුසුමකි සුවඳ යස​,Yes,1,ඔබ කුසුමකි සුවඳ යස​,You,Fragrant flower
දෙලොවක් අතර​,කරුණාරත්න අබේසේකර​,1965,ළතඹ පෙති බඳු මියුරු තොල්වල​,No,0,,,
දෙලොවක් අතර​,කරුණාරත්න අබේසේකර​,1965,රසින් මත්වී විඳින සුරතල​,No,0,,,
දෙලොවක් අතර​,කරුණාරත්න අබේසේකර​,1965,තරුණ පිය සැමියෙකුගෙ පැලතුළ​,No,0,,,
දෙලොවක් අතර​,කරුණාරත්න අබේසේකර​,1965,දිලෙන මිණි වැට ඔබය රෑකල​,Yes,1,දිලෙන මිණි වැට ඔබය,You,Shining fence of gems
දෙලොවක් අතර​,කරුණාරත්න අබේසේකර​,1965,වරෙක ඔබ සුව ජනක සීනෙකි,Yes,1,ඔබ සුව ජනක සීනෙකි,You,Comfortable dream
දෙලොවක් අතර​,කරුණාරත්න අබේසේකර​,1965,විටෙක දුක් බිය නසන දෑනෙකි,No,0,,,
දෙලොවක් අතර​,කරුණාරත්න අබේසේකර​,1965,රුවන් කුසලානයක ලෑහැකි,No,0,,,
දෙලොවක් අතර​,කරුණාරත්න අබේසේකර​,1965,මිහිරිතම මධු රසැති පානෙකි,No,0,,,
දෙලොවක් අතර​,කරුණාරත්න අබේසේකර​,1965,දෙබැම මත මම ලැගුම් ගන්නෙමි,No,0,,,
දෙලොවක් අතර​,කරුණාරත්න අබේසේකර​,1965,උරතලාවල සුවෙන් ඉන්නෙමි,No,0,,,
දෙලොවක් අතර​,කරුණාරත්න අබේසේකර​,1965,දෙතොල් ගගුලෙහි කිමිද යන්නෙමි,Yes,1,දෙතොල් ගගුලෙහි,Lips,River
දෙලොවක් අතර​,කරුණාරත්න අබේසේකර​,1965,ඔබේ ළඟ මම අලුත් වන්නෙමි,No,0,,,
නිගමන​,කරුණාරත්න අබේසේකර​,1960,සනහස් ලතා ලියලා ගොස් එහිම වෙළී,No,0,,,
නිගමන​,කරුණාරත්න අබේසේකර​,1960,විඳ විඳ අමොද රස සොම්නස් විලෙහි ගිලී,No,0,,,
නිගමන​,කරුණාරත්න අබේසේකර​,1960,නොසිතූ දුකක් ඉපදී හද කුමුද තැළී,Yes,1,හද කුමුද,Heart,Flower
නිගමන​,කරුණාරත්න අබේසේකර​,1960,බිම හෙලු කඳුළු දෙනෙතට ගත හැකිද යළී,No,0,,,
නිලමේ,කරුණාරත්න අබේසේකර​,1973,කීවොත් උවමනාවක් එය ඉවත නොලා,No,0,,,
නිලමේ,කරුණාරත්න අබේසේකර​,1973,පුළුවන් හොඳින් ඉටුකර දෙයි නොපිරිහෙලා,No,0,,,
නිලමේ,කරුණාරත්න අබේසේකර​,1973,නැහැ' 'බැහැ' කියන සිරිතක් නැහැ පුරුදු වෙලා,No,0,,,
නිලමේ,කරුණාරත්න අබේසේකර​,1973,නිලමේ සඳුන් කැටයකි නැති ගලක උලා,Yes,1,නිලමේ සඳුන් කැටයකි,Nilame,A grain of Sandalwood
බඹරෙක් ඉගිලෙයි,කරුණාරත්න අබේසේකර​,1979,උණුසුම හිම විලස දියවී විසිරුණිය,No,0,,,
බඹරෙක් ඉගිලෙයි,කරුණාරත්න අබේසේකර​,1979,නෙත් දෙඋපුල් වසා උණු කඳුලැලි පිනිය​,Yes,1,නෙත් දෙඋපුල්,Eyes,Couple of blue water lily
බඹරෙක් ඉගිලෙයි,කරුණාරත්න අබේසේකර​,1979,මේ ලොව වටා ගොස් එ බඹර බලඇණිය​,No,0,,,
බඹරෙක් ඉගිලෙයි,කරුණාරත්න අබේසේකර​,1979,කාටද බාරදෙන්නේ මා මගෙ තනිය​,No,0,,,
ගමන් ම​ඟ,කරුණාරත්න අබේසේකර​,1960,අත් තියා නළල මත යනෙන දන නමන හිස​,No,0,,,
ගමන් ම​ඟ,කරුණාරත්න අබේසේකර​,1960,සත් වයා සැනසු බුදු දිනකරට පිදුනු යස​,Yes,1,බුදු දිනකරට,Buddha,Sun
ගමන් ම​ඟ,කරුණාරත්න අබේසේකර​,1960,කුප්පියාවත්ත නම් පන්සලෙහි අඹර කුස​,No,0,,,
ගමන් ම​ඟ,කරුණාරත්න අබේසේකර​,1960,සිත් නියා දිලෙනු මැන ! විහිදුවා කිරණ රස​,No,0,,,
මගේ ලේ සුවඳ​,කරුණාරත්න අබේසේකර​,1969,දිලීප පොඩි පුතු සනීපයට නිදි මවගේ උකුල් යහනේ,Yes,1,මවගේ උකුල් යහනේ,Mother's lap,Bed
මගේ ලේ සුවඳ​,කරුණාරත්න අබේසේකර​,1969,කුමාරයාණෙනී මගේ කිරුළ හිමි ජීවන රජ දහනේ,Yes,1,ජීවන රජ දහනේ,Life,Palace
මගේ ලේ සුවඳ​,කරුණාරත්න අබේසේකර​,1969,මහද විමානය - තැන්පත් කළ ලේ බිඳුවක් අඩුව ඇතේ,Yes,1,මහද විමානය,My heart,Paradise
මගේ ලේ සුවඳ​,කරුණාරත්න අබේසේකර​,1969,එය සඟවාගෙන බිළිඳු ලෙසින් ආ වස්තුව ඔබය පුතේ,Yes,1,වස්තුව ඔබය,You,Precious thing
අනුත්තර පූජා,කරුණාරත්න අබේසේකර​,1970,හිමි පා මල් සිඹ ගත් තැන්වල පොළොවේ,Yes,1,පා මල්,Feet,Flowers
අනුත්තර පූජා,කරුණාරත්න අබේසේකර​,1970,ගිනි කඳු මැදින් දළු ලා මල්පැළ පැළවේ,No,0,,,
අනුත්තර පූජා,කරුණාරත්න අබේසේකර​,1970,බවයෙන් බවය බව ගිම් නිවන සනහන​,No,0,,,
අනුත්තර පූජා,කරුණාරත්න අබේසේකර​,1970,අමදම් පොදක් හිමි මුව ගගුලෙ බිගිවුන​,Yes,1,මුව ගගුලෙ,Mouth,River
අනුත්තර පූජා,කරුණාරත්න අබේසේකර​,1970,තෙදියත එකලු කල මිසඳිටු තිමිර බිඳ,No,0,,,
අනුත්තර පූජා,කරුණාරත්න අබේසේකර​,1970,සදහම් සඳුනි විහිදූ රැස් කිරණ කඳ​,Yes,1,සදහම් සඳුනි,Religion,Moon
අනුත්තර පූජා,කරුණාරත්න අබේසේකර​,1970,ගිරි හිස ඔබෙ පාද පංකජ පහස් ලද​,Yes,1,පාද පංකජ,Feet,Lotus
අනුත්තර පූජා,කරුණාරත්න අබේසේකර​,1970,අසදිස බැතින් දන නමදිති ඇඳිලි බැඳ​,No,0,,,
අනුත්තර පූජා,කරුණාරත්න අබේසේකර​,1970,දියනා හිමි සඳුගෙ මෙත් කරුණා නදිය​,Yes,1,මෙත් කරුණා නදිය​,Kindness,River
